Departamento;Municipios;Capital;Superficie_km2;Poblacion_Cabecera;Poblacion_Resto;Pobres;Vulnerables;Clase_Media;Clase_Alta;Porc_Edad_Trabajar;Porc_Econ_Activa;Porc_Ocupados;Porc_Desocupados;Ind_Desar_Humano;Creacion
Quindio;12;Armenia;1845;488246;67155;188458;203258;169710;9866;0.815704056;0.519619694;0.440855585;0.078764109;0.832;1966
Caqueta;16;Florencia;88965;267010;143511;241739;176617;73015;3946;0.761698706;0.430542231;0.382913421;0.04762881;0.752;1909
Risaralda;14;Pereira;4140;762433;198622;276273;352248;318701;12826;0.822238347;0.508227841;0.469782945;0.038443869;0.839;1966
Caldas;27;Manizales;7888;740865;249508;281207;386783;297980;16773;0.822314162;0.468070193;0.416650516;0.051419677;0.828;1905
Meta;29;Villavicencio;85635;768945;252866;334488;370009;299954;17760;0.786667877;0.489363531;0.423703634;0.065658932;0.822;1905
Choco;31;Quibdo;46530;243102;301662;351262;103602;55254;3946;0.77928749;0.472693421;0.419685723;0.053007699;0.731;1906
Sucre;26;Sincelejo;10670;919228;358167;439077;307847;121363;5920;0.786387009;0.476950257;0.423588777;0.05336148;0.775;1966
Boyaca;123;Tunja;23012;736624;506107;451904;519986;274300;20720;0.814489946;0.454744416;0.415520471;0.039224724;0.842;1857
Cesar;25;Valledupar;22905;973958;321429;549587;322648;185498;5920;0.766952412;0.436352199;0.378891727;0.057460472;0.81;1967
Tolima;47;Ibague;23562;919228;420770;552547;500252;337448;13813;0.801380192;0.504186582;0.427035608;0.077150975;0.804;1861
Cundinamarca;116;Bogota;24210;2401827;841172;575241;1230404;979784;39467;0.730901403;0.325600615;0.28637709;0.039225447;0.837;1857
Huila;37;Neiva;19890;679667;442955;611748;360142;212138;10853;0.790125251;0.496402652;0.455599131;0.040803521;0.807;1905
Santander;87;Bucaramanga;30537;1745543;535365;644309;674897;703511;49334;0.821653207;0.553065756;0.500021183;0.053044573;0.879;1857
La Guajira;15;Riohacha;20848;473082;492636;650229;258513;137150;6906;0.732303765;0.487958847;0.45605497;0.03190294;0.691;1898
Atlantico;23;Barranquilla;3019;2282828;139300;692657;1005438;792313;49334;0.801627543;0.505264082;0.469249561;0.036014521;0.835;1905
Magdalena;30;Santa Marta;23188;990218;436808;692657;407503;187471;7893;0.759366678;0.427883835;0.388727147;0.039156688;0.785;1857
Norte de Santander;40;Cucuta;21648;1282673;337645;718311;433157;222992;9866;0.794260127;0.444009642;0.37919082;0.064819535;0.799;1910
Cauca;41;Popayan;29308;546627;945310;838688;392703;167737;8880;0.803657618;0.475015155;0.426741468;0.048273687;0.782;1857
Narino;64;Pasto;32820;713629;913960;921570;579188;286140;20720;0.802349143;0.529403345;0.495833003;0.033570342;0.773;1904
Cordoba;30;Monteria;25020;952215;876732;970904;588068;219045;11840;0.803707035;0.547511148;0.487218379;0.060293118;0.798;1952
Bolivar;45;Cartagena;25978;1618648;562328;995572;721271;423290;25653;0.784131934;0.46262798;0.439596423;0.023031557;0.823;1857
Valle del Cauca;42;Cali;22195;3866560;665592;1137655;1638895;1851033;112482;0.821763302;0.548685922;0.483444722;0.0652412;0.861;1910
Antioquia;125;Medellin;63612;5281409;1396521;1990157;2072052;2400621;215098;0.816849468;0.510216218;0.453151991;0.057064227;0.849;1856
Bogota D.C.;1;Bogota;1775;7715778;28177;2217096;1378408;4001035;557480;0.824119738;0.568534079;0.506569563;0.061964516;0.904;1538
